,2K-mean,KNN,2KNN,Actual_price,Error
0,10004.7,9998.87,10010.53,9706.93,-297.77000000000044
1,9858.73,10010.53,9706.93,8499.75,-1358.9799999999996
2,9103.34,9706.93,8499.75,8436.75,-666.5900000000001
3,8468.25,8499.75,8436.75,8067.78,-400.47000000000025
4,8252.265,8436.75,8067.78,8187.15,-65.11499999999978
5,8127.465,8067.78,8187.15,8206.39,78.92499999999927
6,8196.77,8187.15,8206.39,8064.0,-132.77000000000044
7,8135.195,8206.39,8064.0,8263.5,128.3050000000003
8,8163.75,8064.0,8263.5,8308.0,144.25
9,8285.75,8263.5,8308.0,8368.29,82.54000000000087
10,8338.145,8308.0,8368.29,8237.25,-100.89500000000044
11,8302.77,8368.29,8237.25,8176.66,-126.11000000000058
12,8206.955,8237.25,8176.66,8118.26,-88.69499999999971
13,8147.46,8176.66,8118.26,7848.27,-299.1899999999996
14,7983.265,8118.26,7848.27,8237.68,254.41499999999996
15,8042.975,7848.27,8237.68,8185.61,142.6349999999993
16,8211.645,8237.68,8185.61,8581.34,369.6949999999997
17,8383.475,8185.61,8581.34,8576.0,192.52499999999964
18,8578.67,8581.34,8576.0,8261.18,-317.4899999999998
19,8418.59,8576.0,8261.18,8304.69,-113.89999999999964
20,8282.935000000001,8261.18,8304.69,8281.1,-1.8350000000009459
21,8292.895,8304.69,8281.1,8352.73,59.83499999999913
22,8316.915,8281.1,8352.73,8163.65,-153.26500000000124
23,8258.189999999999,8352.73,8163.65,7999.98,-258.2099999999991
24,8081.815,8163.65,7999.98,8074.53,-7.2849999999998545
25,8037.254999999999,7999.98,8074.53,7952.4,-84.85499999999956
26,8013.465,8074.53,7952.4,7950.66,-62.80500000000029
27,7951.53,7952.4,7950.66,8232.05,280.5199999999995
28,8091.355,7950.66,8232.05,8212.88,121.52499999999964
29,8222.465,8232.05,8212.88,8027.83,-194.63500000000022
30,8120.355,8212.88,8027.83,7470.38,-649.9749999999995
31,7749.105,8027.83,7470.38,7424.77,-324.3349999999991
32,7447.575000000001,7470.38,7424.77,8666.87,1219.295
33,8045.820000000001,7424.77,8666.87,9250.53,1204.71
34,8958.7,8666.87,9250.53,9550.78,592.0799999999999
35,9400.655,9250.53,9550.78,9224.16,-176.4950000000008
36,9387.470000000001,9550.78,9224.16,9420.66,33.18999999999869
37,9322.41,9224.16,9420.66,9155.44,-166.96999999999935
38,9288.05,9420.66,9155.44,9147.08,-140.96999999999935
39,9151.26,9155.44,9147.08,9231.53,80.27000000000044
40,9189.305,9147.08,9231.53,9301.75,112.44499999999971
41,9266.64,9231.53,9301.75,9199.53,-67.10999999999876
42,9250.64,9301.75,9199.53,9407.32,156.6800000000003
43,9303.425,9199.53,9407.32,9315.62,12.195000000001528
44,9361.470000000001,9407.32,9315.62,9337.55,-23.92000000000189
45,9326.585,9315.62,9337.55,9207.51,-119.07499999999891
46,9272.529999999999,9337.55,9207.51,8768.56,-503.96999999999935
47,8988.035,9207.51,8768.56,8810.62,-177.41499999999905
48,8789.59,8768.56,8810.62,9040.02,250.4300000000003
49,8925.32,8810.62,9040.02,8717.26,-208.0599999999995
50,8878.64,9040.02,8717.26,8795.45,-83.18999999999869
51,8756.355,8717.26,8795.45,8761.74,5.385000000000218
52,8778.595000000001,8795.45,8761.74,8629.52,-149.07500000000073
53,8695.630000000001,8761.74,8629.52,8458.59,-237.04000000000087
54,8544.055,8629.52,8458.59,8475.14,-68.91500000000087
55,8466.865,8458.59,8475.14,8499.02,32.155000000000655
56,8487.08,8475.14,8499.02,8170.35,-316.72999999999956
57,8334.685000000001,8499.02,8170.35,8119.08,-215.60500000000138
58,8144.715,8170.35,8119.08,8081.13,-63.585000000000036
59,8100.105,8119.08,8081.13,7617.85,-482.2549999999992
60,7849.49,8081.13,7617.85,7280.03,-569.46
61,7448.9400000000005,7617.85,7280.03,7315.93,-133.01000000000022
62,7297.98,7280.03,7315.93,6909.78,-388.1999999999998
63,7112.855,7315.93,6909.78,7122.01,9.155000000000655
64,7015.895,6909.78,7122.01,7156.49,140.59499999999935
65,7139.25,7122.01,7156.49,7524.93,385.6800000000003
66,7340.71,7156.49,7524.93,7426.04,85.32999999999993
67,7475.485000000001,7524.93,7426.04,7746.69,271.204999999999
68,7586.365,7426.04,7746.69,7549.51,-36.85499999999956
