,O,H,L,C,V,date
0,10214.31,10233.53,10078.91,10171.06,6.916184,2019-09-20 02:00:00
1,10169.44,10169.44,9940.27,9998.87,3.053031,2019-09-21 02:00:00
2,9928.07,10050.12,9874.3,10010.53,1.797653,2019-09-22 02:00:00
3,10037.7,10037.7,9612.75,9706.93,28.145778,2019-09-23 02:00:00
4,9675.42,9783.1,1800.0,8499.75,65.020525,2019-09-24 02:00:00
5,8558.92,8728.04,8225.58,8436.75,30.059526,2019-09-25 02:00:00
6,8415.14,8461.31,7200.0,8067.78,77.137854,2019-09-26 02:00:00
7,8067.78,8257.25,7853.53,8187.15,20.750945,2019-09-27 02:00:00
8,8187.15,8319.86,8016.75,8206.39,24.099766,2019-09-28 02:00:00
9,8159.65,8167.83,7911.75,8064.0,15.71953,2019-09-29 02:00:00
10,8045.91,8346.43,7719.48,8263.5,44.652749,2019-09-30 02:00:00
11,8297.79,8503.08,8182.04,8308.0,73.120773,2019-10-01 02:00:00
12,8296.82,8378.05,8169.0,8368.29,30.803361,2019-10-02 02:00:00
13,8371.98,8400.0,8085.71,8237.25,18.558607,2019-10-03 02:00:00
14,8232.01,8237.22,8013.23,8176.66,10.068036,2019-10-04 02:00:00
15,8144.23,8190.52,8028.39,8118.26,10.948656,2019-10-05 02:00:00
16,8130.94,8158.52,7793.53,7848.27,22.826874,2019-10-06 02:00:00
17,7829.06,8290.04,7793.52,8237.68,41.409387,2019-10-07 02:00:00
18,8217.83,8325.58,8114.65,8185.61,22.099533,2019-10-08 02:00:00
19,8196.59,8662.59,8129.69,8581.34,57.824688,2019-10-09 02:00:00
20,8587.06,8650.91,8458.53,8576.0,32.459087,2019-10-10 02:00:00
21,8564.94,8798.63,8234.82,8261.18,61.820489,2019-10-11 02:00:00
22,8267.51,8410.74,8261.76,8304.69,39.604237,2019-10-12 02:00:00
23,8302.89,8455.22,8159.96,8281.1,105.319937,2019-10-13 02:00:00
24,8275.21,8388.71,8214.42,8352.73,128.874758,2019-10-14 02:00:00
25,8352.74,8409.44,8100.0,8163.65,126.545204,2019-10-15 02:00:00
26,8163.65,8178.48,7911.2,7999.98,165.89398,2019-10-16 02:00:00
27,7999.49,8114.27,7939.55,8074.53,64.413256,2019-10-17 02:00:00
28,8075.8,8119.87,7825.01,7952.4,192.751137,2019-10-18 02:00:00
29,7953.87,8100.0,7880.0,7950.66,308.703054,2019-10-19 02:00:00
30,7951.76,8316.2,7876.3,8232.05,335.747334,2019-10-20 02:00:00
31,8232.22,8330.0,8153.0,8212.88,211.694024,2019-10-21 02:00:00
32,8212.88,8300.0,8005.0,8027.83,202.784022,2019-10-22 02:00:00
33,8026.0,8050.86,7299.66,7470.38,363.499628,2019-10-23 02:00:00
34,7469.85,7510.48,7344.18,7424.77,210.354106,2019-10-24 02:00:00
35,7422.75,8770.0,7392.81,8666.87,787.253691,2019-10-25 02:00:00
36,8666.92,10350.0,8655.0,9250.53,1595.119016,2019-10-26 02:00:00
37,9248.83,9800.0,9095.83,9550.78,932.156025,2019-10-27 02:00:00
38,9550.78,9928.09,9195.0,9224.16,595.658129,2019-10-28 01:00:00
39,9219.37,9545.8,9100.01,9420.66,591.516653,2019-10-29 01:00:00
40,9420.66,9426.31,9000.0,9155.44,486.374578,2019-10-30 01:00:00
41,9168.41,9415.66,8950.0,9147.08,549.205067,2019-10-31 01:00:00
42,9146.96,9289.99,9050.29,9231.53,479.212346,2019-11-01 01:00:00
43,9239.96,9382.39,9200.0,9301.75,341.459967,2019-11-02 01:00:00
44,9300.49,9371.31,9073.07,9199.53,307.465586,2019-11-03 01:00:00
45,9205.31,9524.41,9125.68,9407.32,830.949564,2019-11-04 01:00:00
46,9408.14,9466.52,9180.0,9315.62,854.344521,2019-11-05 01:00:00
47,9315.74,9437.63,9254.0,9337.55,521.040295,2019-11-06 01:00:00
48,9337.55,9365.38,9090.0,9207.51,406.777903,2019-11-07 01:00:00
49,9202.2,9240.0,8661.63,8768.56,594.568744,2019-11-08 01:00:00
50,8766.68,8867.26,8718.28,8810.62,240.227771,2019-11-09 01:00:00
51,8805.0,9125.0,8750.0,9040.02,267.236819,2019-11-10 01:00:00
52,9040.46,9067.98,8611.99,8717.26,357.554264,2019-11-11 01:00:00
53,8714.98,8850.51,8560.8,8795.45,424.274111,2019-11-12 01:00:00
54,8795.46,8813.99,8700.0,8761.74,275.066981,2019-11-13 01:00:00
